x,y,z,yaw,pitch,roll
946,5909,1123,1.12,-72.06,-30.81
942,6015,928,0.69,-72.31,-29.37
963,6064,834,0.69,-72.44,-30.69
1055,5773,1528,23.87,-8.19,-1.12
1194,5612,1863,29.69,9.94,0.06
1211,5607,1896,26.75,-4.00,-0.19
1119,5799,1030,19.75,-77.56,-36.44
834,5642,1334,60.25,-68.12,-32.63
724,5168,1501,49.00,-75.19,-18.06
878,4458,1289,18.12,-82.44,-43.25
1695,3475,1506,5.44,0.75,-2.69
2217,3493,1822,321.69,3.31,3.81
2116,3905,1368,295.75,3.94,4.69
1826,4036,1186,269.31,2.75,6.37
1719,4127,1517,252.25,10.63,13.19
1736,4102,1760,264.94,33.06,12.63
1889,3844,1340,314.38,38.38,10.38
1849,3592,1422,3.56,41.56,-1.69
1788,3464,1713,10.69,8.44,-5.69
1879,3365,2045,23.87,2.25,-6.44
1476,3272,1732,72.00,4.37,-6.69
1400,3547,1808,116.50,4.37,4.19
1492,3994,1875,169.50,5.56,2.50
1739,4089,1468,208.81,5.62,0.88
1971,4191,1627,216.88,9.81,-1.19
2065,4132,1131,197.37,47.75,1.06
2021,3915,1619,279.25,-85.44,-3.81
2472,3874,1346,309.87,-77.56,-33.50
3200,3922,1283,307.00,-52.69,-27.56
3964,4165,1210,293.50,-70.12,-17.12
4491,4904,1398,207.19,-66.44,-13.06
4072,5373,1704,182.81,11.63,-1.69
3659,5031,1443,108.94,10.19,3.56
3786,4670,1456,48.81,10.06,4.37
4247,4543,1622,17.62,29.37,15.19
3860,4668,1471,77.37,43.94,1.62
3746,4859,1536,109.19,3.00,-0.19
3950,4936,1328,99.50,-40.56,-11.44
3649,4756,1274,116.06,-36.25,-28.75
2699,4660,1180,137.31,-51.19,-36.50
1929,4744,1149,171.44,-72.44,-47.62
1362,5002,1352,228.44,-88.87,178.87
866,5622,1506,259.75,-80.56,-20.62
1155,5879,1385,262.44,-31.69,-28.19
910,5929,1580,204.87,-16.94,15.81
